,growth_factor_fmp,inflation_factor_fmp,real_rates_factor_fmp,credit_factor_fmp,currency_factor_fmp,liquidity_factor_fmp,tail_risk_factor_fmp,growth,inflation,real_rates,credit,currency,liquidity,tail_risk
1976-07-31,2.089312646,-0.337062433,-0.461483747,-0.601827342,3.006397922,-0.565889786,-0.201416842,-0.766416278,-0.060588809,0.102347846,-0.358043479,-0.181472095,-0.70978778,-0.452259465
1976-08-31,0.453587695,1.223741542,-0.746375137,1.191285607,1.531999541,-2.619042814,-2.74622809,-0.469225783,-0.060216965,-0.692984776,-0.819243602,-0.149186443,-1.057911093,-0.920165873
1976-09-30,0.343196462,3.655488274,-0.844595299,1.200113164,-1.649347356,-2.045096963,-1.273602472,-0.303260727,-0.059851884,-0.370242236,0.313459996,-0.301627558,-1.299733209,1.517711622
1976-10-31,-2.14402524,0.148258187,-0.278717318,1.430472,-0.425713744,-1.930131301,2.600706656,-0.039246067,-0.059493362,-0.454882695,0.94329128,0.254833754,-0.505697483,-0.607667681
1976-11-30,1.145324127,0.96894619,-1.727405069,1.994396283,-1.400957554,5.224879281,-0.799080473,-0.598329623,-0.670896924,-1.513688504,0.517927193,1.58844785,-0.776726918,-0.273775393
1976-12-31,-5.129705761,-0.793763776,0.445917702,0.014062105,-4.339089203,-4.560859356,-1.060949529,1.598151908,-0.051305807,0.250074448,2.161505922,-1.864362811,0.139231294,-0.586995889
1977-01-31,0.64835197,-0.474443234,2.106397638,-1.351648936,-0.097639386,4.368378978,1.215297568,-0.606857268,-0.051009385,2.707777724,-3.618750731,0.704746876,0.68548527,1.439759919
1977-02-28,1.88823236,-0.891093247,0.629669685,-1.094391995,-1.338611869,4.652174565,3.117766176,0.054990786,1.487335435,0.446887641,-1.164560995,0.024599625,-0.481563745,-0.744388194
1977-03-31,1.491795975,-0.441003924,-0.508731544,-0.180886744,-0.667412712,5.541319863,1.278782119,1.106292956,-0.067546781,0.027015909,-0.372575449,-0.244881062,-1.003370221,-0.420635662
1977-04-30,-5.485350081,0.841504757,0.569474447,1.532390408,-1.784293357,-5.562543475,-2.038350629,-0.519564488,0.554061041,0.191991821,0.326524425,0.321841013,-0.899221386,-1.412591434
1977-05-31,-2.422956028,0.502808586,0.011847526,1.154822345,0.575305607,0.118176622,-1.045660831,0.907118847,-0.696485435,-0.214517781,-1.101080138,0.038034974,-0.408950477,-1.370146373
1977-06-30,0.12493263,0.433314732,-1.149806901,0.837315052,-0.022352209,-1.54946039,-1.745500817,-0.987380132,-0.066134681,-1.649086084,0.774973463,-0.039864385,-0.612158392,-0.456794388
1977-07-31,-2.659558027,0.940674483,0.673741083,2.142629972,-0.789616288,2.208246623,-1.663666554,0.281396368,-0.065776662,0.354941662,-0.730373151,-0.865860034,0.001451276,-0.579201731
1977-08-31,-1.769905021,1.792596169,-0.644250924,0.805335662,0.075308122,2.003259686,-1.901385525,-0.951977871,-0.065424395,-0.748649511,-0.699029825,1.809761222,-0.784982904,0.160032961
1977-09-30,0.223064565,-1.340443036,0.454842508,-1.251029968,-1.641694335,4.571085057,2.386671901,-0.344730496,-0.700296799,0.394986205,0.171224261,-0.179827873,-1.327489042,0.241626013
1977-10-31,-1.937093838,-0.515712983,1.075520073,0.206920582,-2.023709928,3.246483316,2.078437862,0.496537369,-0.057769168,0.757429478,-0.72889807,-1.876369037,-0.844591843,-0.420757733
1977-11-30,0.676128466,0.07231121,-0.250155568,-0.186946693,-0.310288778,-1.918125139,-0.370933135,0.223937943,0.263591556,-0.270981284,-0.112025081,-0.611507891,-0.137849743,-1.133760517
1977-12-31,0.849288791,-0.532740258,0.307374414,-0.228606311,-2.568789433,1.410920414,0.862557002,1.230265016,-0.060516575,0.275663064,-0.731454474,-3.470907844,-0.373238904,0.067614395
1978-01-31,-0.068825425,1.683426333,0.657391491,1.990097252,-1.324625495,6.387340948,-1.180107614,-0.836142201,0.264159937,0.320719585,-0.959460603,-0.527108731,1.433149566,-0.300440757
1978-02-28,-1.264479065,1.861022862,0.679453478,2.106510117,-2.34863897,4.544163305,-3.015366506,-0.526255033,-0.063212442,0.247690694,-0.137865244,-0.872000446,-0.92512837,0.242968255
1978-03-31,2.013762901,-1.229382491,-0.01840859,-2.553130518,-0.202823865,-3.295994535,1.313406456,-0.319415663,0.264742319,0.363367623,0.042761692,0.983416662,0.739748966,-0.355394294
1978-04-30,-1.851790519,0.289257468,0.188668004,-0.532597407,0.435845464,-7.309728318,-2.964262854,0.908234856,0.918112339,0.325105335,0.213089291,1.808164626,-0.688840822,0.43344307
1978-05-31,3.584265876,-1.027756358,0.289773189,-1.722432933,-1.468527263,4.365785048,2.755141609,0.832454144,1.233713979,0.688046274,-0.100067669,-0.568525567,-0.454091294,-1.349822361
1978-06-30,-4.162629769,1.519064434,0.723369671,2.602420792,-1.889236799,0.963953667,-3.513682004,0.074937435,0.895499281,0.101263809,-0.496908066,-1.423496896,-0.880539354,-0.383829024
1978-07-31,1.296040799,-0.851313598,-0.472259979,-0.100205466,-4.248342975,-1.018313352,1.167419329,0.555603421,0.887776033,-0.557349256,-0.878382252,-2.502936591,-0.426979489,-0.438346575
1978-08-31,-0.263969283,-0.337280157,-0.234533191,-0.16223378,-1.987312437,0.151530189,0.351854408,-0.688827738,0.224798343,-0.807505694,1.114758866,-1.092784539,0.529948,-0.507377211
1978-09-30,0.358387287,-1.008327316,0.363716224,-0.876630951,-1.622153366,0.064803652,2.451746957,0.041620064,1.207858403,0.591315971,-0.951445166,-1.372343199,-0.209914653,-1.481865946
1978-10-31,0.676896573,-0.400018279,1.657915653,0.619557364,-4.827426029,6.95374133,4.041189556,-0.167335101,1.194064609,1.512754501,-0.839688675,-4.743667018,-0.605060212,1.648894414
1978-11-30,-2.312369241,-0.232798232,-0.409526885,-1.827236841,8.40680066,-9.364651732,-1.427181208,0.392526478,0.200110932,-0.395308128,1.220139531,6.173706625,1.394277733,0.908323686
1978-12-31,0.401071201,-1.533669333,0.65329528,-0.076471978,-5.36497858,1.601007633,4.92749433,-0.695865456,0.199162494,0.233919014,-0.964670669,-2.739805292,-0.165599738,0.148800107
1979-01-31,4.00798341,-2.550085882,-1.050437359,-3.750375716,1.092405237,6.124877365,3.798600542,-0.340624105,1.187845765,-1.207769532,0.693755464,2.086995417,0.172188181,0.902568874
1979-02-28,6.596961841,-0.512338656,0.081719138,-2.961161589,0.313151846,7.513765238,4.758175742,-0.127066914,1.498682414,0.642521679,-0.751763003,-1.112653038,0.824172606,-0.651101848
1979-03-31,0.962531427,0.255200199,-0.516219089,-0.178746068,0.263985861,-2.157729419,-2.460729634,-0.197457192,1.477166073,-0.329983784,1.397307872,0.208959688,-0.267311436,-0.834317248
